Box #,Round,Site,Spp,Patch,Exclosure,Rep,PRVial,Sample Shorthand,MS/MS Date,File Name rep 1,File Name rep 2,Notes,Includes,# Samples/Box,,,,,,,,
2,1,CI,Pg,E,2,1,G001,CI-E,,,,,"Round 1 -> Bare -> Cl, FB, PG, SK, WB",52,,,,,,,,
2,1,CI,Pg,E,2,2,G002,CI-E,,,,,"Round 1 -> Eel -> Cl, FB, PG, SK, WB",60,,,,,,,,
2,1,CI,Pg,E,2,3,G003,CI-E,,,,,"Round 2 -> Bare -> Cl, FB, PG, SK, WB",35,,,,,,,,
2,1,CI,Pg,E,2,4,G004,CI-E,,,,,"Round 2 -> Eel -> Cl, FB, PG, SK, WB",33,,,,,,,,
2,1,CI,Pg,E,1,1,G005,CI-E,,,,,,,,,,,,,,
2,1,CI,Pg,E,3,1,G006,CI-E,,,,,,,,,,,,,,
2,1,CI,Pg,E,3,2,G007,CI-E,,,,,,,,,,,,,,
2,1,CI,Pg,E,3,3,G008,CI-E,,,,,,Trial,Site,# Bare,# Eelgrass,,Trial,Site,# Bare,# Eelgrass
2,1,CI,Pg,E,3,4,G009,CI-E,,,,,,1,CI,9,10,,1,CI,9,10
2,1,CI,Pg,E,3,5,G010,CI-E,1/23/17,geoduck3,geoduck20,,,1,FB,12,13,,1,FB,12,13
1,1,CI,Pg,B,4,1,G011,CI-B,,,,,,1,SK,2,11,,1,WB,15,14
1,1,CI,Pg,B,4,2,G012,CI-B,,,,,,1,WB,15,14,,1,PG,14,12
1,1,CI,Pg,B,4,3,G013,CI-B,,,,,,1,PG,14,12,,2,CI,6,7
1,1,CI,Pg,B,4,4,G014,CI-B,,,,,,2,CI,6,7,,2,FB,9,6
1,1,CI,Pg,B,5,1,G015,CI-B,,,,,,2,FB,9,6,,2,WB,10,9
1,1,CI,Pg,B,5,2,G016,CI-B,,,,,,2,SK,2,3,,2,PG,10,6
1,1,CI,Pg,B,5,3,G017,CI-B,,,,,,2,WB,10,9,,,,,
1,1,CI,Pg,B,5,4,G018,CI-B,1/23/17,geoduck9,geoduck15,,,2,PG,10,6,,,,,
1,1,CI,Pg,B,5,5,G019,CI-B,,,,,,,,,,,,,,
3,2,CI,Pg,B,4,1,G020,CI-B,,,,,,,,,,,,,,
4,2,CI,Pg,E,3,1,G021,CI-E,,,,,,,,,,,,,,
