Category	Term	GO Term	PValue	GO Description	Count	%	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	GO:0006096	3.55E-07	glycolytic process	8	3.8647343	"Q148N0, P52034, Q23629, Q1MTI4, Q5E956, O13366, Q59106, P08059"	183	33	12646	16.75244246	3.12E-04	3.12E-04	5.52E-04
GOTERM_BP_DIRECT	GO:0016575~histone deacetylation	GO:0016575	5.43E-06	histone deacetylation	7	3.381642512	"Q09750, Q96ST3, Q60520, Q9UBN7, Q94517, O75182, Q9LFQ3"	183	32	12646	15.11646175	0.004769534	0.002387617	0.008443542
GOTERM_BP_DIRECT	GO:0003341~cilium movement	GO:0003341	5.43E-06	cilium movement	7	3.381642512	"Q5T2S8, Q4G0P3, Q8BYM7, Q63164, Q8VHE6, Q8WXX0, Q63170"	183	32	12646	15.11646175	0.004769534	0.002387617	0.008443542
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	GO:0006099	2.09E-05	tricarboxylic acid cycle	7	3.381642512	"Q148N0, Q32LG3, Q23629, Q94517, Q59106, Q17GM7, Q9YHT2"	183	40	12646	12.0931694	0.01823796	0.006116657	0.032503172
GOTERM_BP_DIRECT	GO:0030317~sperm motility	GO:0030317	1.75E-04	sperm motility	6	2.898550725	"Q9D8T7, Q63164, Q8VHE6, Q9UIF3, Q5NVI9, A6H782"	183	37	12646	11.2060257	0.142987268	0.037841062	0.272151454
GOTERM_BP_DIRECT	GO:0046166~glyceraldehyde-3-phosphate biosynthetic process	GO:0046166	6.12E-04	glyceraldehyde-3-phosphate biosynthetic process	3	1.449275362	"Q6B855, Q1MTI4, Q5E956"	183	3	12646	69.10382514	0.4165852	0.102167156	0.947191456
GOTERM_BP_DIRECT	GO:0036159~inner dynein arm assembly	GO:0036159	7.54E-04	inner dynein arm assembly	4	1.93236715	"Q63164, Q9UIF3, Q8WXX0, Q63170"	183	13	12646	21.26271543	0.485122264	0.104736898	1.165574584
GOTERM_BP_DIRECT	GO:0006424~glutamyl-tRNA aminoacylation	GO:0006424	0.001212694	glutamyl-tRNA aminoacylation	3	1.449275362	"O13775, Q8CGC7, P28668"	183	4	12646	51.82786885	0.656242208	0.141480104	1.868261779
GOTERM_BP_DIRECT	GO:0006891~intra-Golgi vesicle-mediated transport	GO:0006891	0.001373658	intra-Golgi vesicle-mediated transport	5	2.415458937	"Q99260, Q1KME6, P54351, P35605, Q9CAA0"	183	34	12646	10.16232723	0.701698419	0.140329658	2.113772353
GOTERM_BP_DIRECT	GO:0006002~fructose 6-phosphate metabolic process	GO:0006002	0.002974623	fructose 6-phosphate metabolic process	3	1.449275362	"P52034, Q5R636, Q9Z2Z9"	183	6	12646	34.55191257	0.927311312	0.252697707	4.524549574
GOTERM_BP_DIRECT	GO:0006434~seryl-tRNA aminoacylation	GO:0006434	0.00412513	seryl-tRNA aminoacylation	3	1.449275362	"Q18678, P26636, Q6P799"	183	7	12646	29.61592506	0.973685154	0.304943543	6.22258327
GOTERM_BP_DIRECT	"GO:0006890~retrograde vesicle-mediated transport, Golgi to ER"	GO:0006890	0.004570259	"retrograde vesicle-mediated transport, Golgi to ER"	5	2.415458937	"Q99260, Q1KME6, Q5RA77, P35605, Q9CAA0"	183	47	12646	7.351470759	0.98224426	0.306815281	6.871936331
GOTERM_BP_DIRECT	GO:0006418~tRNA aminoacylation for protein translation	GO:0006418	0.004750795	tRNA aminoacylation for protein translation	4	1.93236715	"Q922B2, Q18678, Q8CGC7, Q99MN1"	183	24	12646	11.51730419	0.984863732	0.294763307	7.134099708
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	GO:0006094	0.006652423	gluconeogenesis	4	1.93236715	"Q1MTI4, Q5E956, P08059, P00508"	183	27	12646	10.23760372	0.997187527	0.363532793	9.853909946
GOTERM_BP_DIRECT	GO:0097056~selenocysteinyl-tRNA(Sec) biosynthetic process	GO:0097056	0.006938895	selenocysteinyl-tRNA(Sec) biosynthetic process	3	1.449275362	"Q18678, P26636, Q6P799"	183	9	12646	23.03460838	0.997817996	0.354467293	10.25711878
GOTERM_BP_DIRECT	GO:0006108~malate metabolic process	GO:0006108	0.006938895	malate metabolic process	3	1.449275362	"Q32LG3, Q8BMF3, O34962"	183	9	12646	23.03460838	0.997817996	0.354467293	10.25711878
GOTERM_BP_DIRECT	GO:0010501~RNA secondary structure unwinding	GO:0010501	0.007019626	RNA secondary structure unwinding	5	2.415458937	"Q65N62, Q0UAT0, O00571, Q5WR10, Q7XMK8"	183	53	12646	6.519228786	0.997968648	0.338516497	10.37044113
GOTERM_BP_DIRECT	GO:0006476~protein deacetylation	GO:0006476	0.010402537	protein deacetylation	3	1.449275362	"Q96ST3, Q60520, Q9UBN7"	183	11	12646	18.84649776	0.999899181	0.437371755	15.00051031
GOTERM_BP_DIRECT	GO:0010971~positive regulation of G2/M transition of mitotic cell cycle	GO:0010971	0.010402537	positive regulation of G2/M transition of mitotic cell cycle	3	1.449275362	"Q96ST3, Q60520, Q0VD48"	183	11	12646	18.84649776	0.999899181	0.437371755	15.00051031
GOTERM_BP_DIRECT	GO:0007010~cytoskeleton organization	GO:0007010	0.010491997	cytoskeleton organization	6	2.898550725	"Q5XI32, P26038, O00291, Q68FR8, P02552, Q13813"	183	92	12646	4.506771205	0.999906891	0.420728739	15.11985804
GOTERM_BP_DIRECT	GO:0006098~pentose-phosphate shunt	GO:0006098	0.012365797	pentose-phosphate shunt	3	1.449275362	"Q1MTI4, Q5E956, Q00612"	183	12	12646	17.27595628	0.999982437	0.455735016	17.58392295
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	GO:0007018	0.013530396	microtubule-based movement	6	2.898550725	"P38650, Q923J6, Q8VHE6, Q9SMH5, Q6ZR08, Q96M86"	183	98	12646	4.230846437	0.999993782	0.467913467	19.08148348
GOTERM_BP_DIRECT	GO:0034063~stress granule assembly	GO:0034063	0.014477021	stress granule assembly	3	1.449275362	"Q6FQU5, P38650, O00571"	183	13	12646	15.94703657	0.999997329	0.473574142	20.27995234
GOTERM_BP_DIRECT	GO:0007409~axonogenesis	GO:0007409	0.01999861	axonogenesis	5	2.415458937	"Q00963, Q90687, Q5R416, B7ZC77, Q61879"	183	72	12646	4.798876746	0.999999981	0.571099442	26.94605957
GOTERM_BP_DIRECT	GO:0007051~spindle organization	GO:0007051	0.024310719	spindle organization	3	1.449275362	"Q9P209, P62286, P62297"	183	17	12646	12.19479267	1	0.626353131	31.78531016
GOTERM_BP_DIRECT	GO:0033962~cytoplasmic mRNA processing body assembly	GO:0033962	0.024310719	cytoplasmic mRNA processing body assembly	3	1.449275362	"Q6FQU5, P38650, Q7XMK8"	183	17	12646	12.19479267	1	0.626353131	31.78531016
GOTERM_BP_DIRECT	GO:1901675~negative regulation of histone H3-K27 acetylation	GO:1901675	0.0285778	negative regulation of histone H3-K27 acetylation	2	0.966183575	"Q96ST3, Q60520"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0051595~response to methylglyoxal	GO:0051595	0.0285778	response to methylglyoxal	2	0.966183575	"Q96ST3, Q60520"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0021873~forebrain neuroblast division	GO:0021873	0.0285778	forebrain neuroblast division	2	0.966183575	"P62286, P62297"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0051823~regulation of synapse structural plasticity	GO:0051823	0.0285778	regulation of synapse structural plasticity	2	0.966183575	"Q5R416, B7ZC77"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0045769~negative regulation of asymmetric cell division	GO:0045769	0.0285778	negative regulation of asymmetric cell division	2	0.966183575	"P62286, P62297"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0090611~ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	GO:0090611	0.0285778	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	2	0.966183575	"Q0VD48, Q9WU78"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0000054~ribosomal subunit export from nucleus	GO:0000054	0.0285778	ribosomal subunit export from nucleus	2	0.966183575	"P61222, Q9M0D0"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0015966~diadenosine tetraphosphate biosynthetic process	GO:0015966	0.0285778	diadenosine tetraphosphate biosynthetic process	2	0.966183575	"Q04451, Q99MN1"	183	2	12646	69.10382514	1	0.670223233	36.27743966
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	GO:0098609	0.038600332	cell-cell adhesion	6	2.898550725	"O00571, P14618, Q17QG2, Q13177, O75369, Q13813"	183	129	12646	3.214131402	1	0.763873087	45.76366263
GOTERM_BP_DIRECT	GO:0051653~spindle localization	GO:0051653	0.042560625	spindle localization	2	0.966183575	"P62286, P62297"	183	3	12646	46.06921676	1	0.783669779	49.13393608
GOTERM_BP_DIRECT	GO:0010817~regulation of hormone levels	GO:0010817	0.042560625	regulation of hormone levels	2	0.966183575	"Q96ST3, Q60520"	183	3	12646	46.06921676	1	0.783669779	49.13393608
GOTERM_BP_DIRECT	GO:0006436~tryptophanyl-tRNA aminoacylation	GO:0006436	0.042560625	tryptophanyl-tRNA aminoacylation	2	0.966183575	"O28579, P17248"	183	3	12646	46.06921676	1	0.783669779	49.13393608
GOTERM_BP_DIRECT	GO:0006433~prolyl-tRNA aminoacylation	GO:0006433	0.042560625	prolyl-tRNA aminoacylation	2	0.966183575	"Q8CGC7, P28668"	183	3	12646	46.06921676	1	0.783669779	49.13393608
GOTERM_BP_DIRECT	GO:1903351~cellular response to dopamine	GO:1903351	0.056343269	cellular response to dopamine	2	0.966183575	"Q96ST3, Q60520"	183	4	12646	34.55191257	1	0.859540153	59.3972685
GOTERM_BP_DIRECT	GO:0007124~pseudohyphal growth	GO:0007124	0.056343269	pseudohyphal growth	2	0.966183575	"O13366, P40071"	183	4	12646	34.55191257	1	0.859540153	59.3972685
GOTERM_BP_DIRECT	GO:2000678~negative regulation of transcription regulatory region DNA binding	GO:2000678	0.056343269	negative regulation of transcription regulatory region DNA binding	2	0.966183575	"Q96ST3, Q60520"	183	4	12646	34.55191257	1	0.859540153	59.3972685
GOTERM_BP_DIRECT	GO:0048813~dendrite morphogenesis	GO:0048813	0.064580988	dendrite morphogenesis	4	1.93236715	"D3ZR10, Q94517, Q5R416, B7ZC77"	183	64	12646	4.318989071	1	0.886494568	64.56985249
GOTERM_BP_DIRECT	GO:0002218~activation of innate immune response	GO:0002218	0.069928582	activation of innate immune response	2	0.966183575	"Q96ST3, Q60520"	183	5	12646	27.64153005	1	0.897549936	67.59033281
GOTERM_BP_DIRECT	GO:0051901~positive regulation of mitochondrial depolarization	GO:0051901	0.069928582	positive regulation of mitochondrial depolarization	2	0.966183575	"P63245, P09874"	183	5	12646	27.64153005	1	0.897549936	67.59033281
GOTERM_BP_DIRECT	GO:0051445~regulation of meiotic cell cycle	GO:0051445	0.069928582	regulation of meiotic cell cycle	2	0.966183575	"P62286, P62297"	183	5	12646	27.64153005	1	0.897549936	67.59033281
GOTERM_BP_DIRECT	GO:0006415~translational termination	GO:0006415	0.069928582	translational termination	2	0.966183575	"P61222, Q9M0D0"	183	5	12646	27.64153005	1	0.897549936	67.59033281
GOTERM_BP_DIRECT	GO:0051661~maintenance of centrosome location	GO:0051661	0.069928582	maintenance of centrosome location	2	0.966183575	"P62286, P62297"	183	5	12646	27.64153005	1	0.897549936	67.59033281
GOTERM_BP_DIRECT	GO:0007017~microtubule-based process	GO:0007017	0.077129535	microtubule-based process	3	1.449275362	"P06603, Q68FR8, P02552"	183	32	12646	6.478483607	1	0.912460919	71.27823405
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	GO:0071333	0.081353871	cellular response to glucose stimulus	3	1.449275362	"Q96ST3, Q60520, P63245"	183	33	12646	6.282165922	1	0.917011998	73.25495254
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	GO:0005975	0.0813817	carbohydrate metabolic process	6	2.898550725	"Q32LG3, Q9XTL9, Q9WUB3, Q9Z2Z9, Q00612, Q17GM7"	183	160	12646	2.591393443	1	0.910151194	73.26754203
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	GO:0006886	0.081805412	intracellular protein transport	7	3.381642512	"Q99260, Q9UBN7, Q3T0T7, Q9CWK8, P35605, O75340, Q9CAA0"	183	209	12646	2.314482182	1	0.904345581	73.45854069
GOTERM_BP_DIRECT	GO:0090306~spindle assembly involved in meiosis	GO:0090306	0.083319374	spindle assembly involved in meiosis	2	0.966183575	"P62286, P62297"	183	6	12646	23.03460838	1	0.90171632	74.13061573
GOTERM_BP_DIRECT	"GO:0006957~complement activation, alternative pathway"	GO:0006957	0.083319374	"complement activation, alternative pathway"	2	0.966183575	"P98093, P12247"	183	6	12646	23.03460838	1	0.90171632	74.13061573
GOTERM_BP_DIRECT	GO:0031937~positive regulation of chromatin silencing	GO:0031937	0.083319374	positive regulation of chromatin silencing	2	0.966183575	"Q96ST3, Q60520"	183	6	12646	23.03460838	1	0.90171632	74.13061573
GOTERM_BP_DIRECT	GO:1990966~ATP generation from poly-ADP-D-ribose	GO:1990966	0.083319374	ATP generation from poly-ADP-D-ribose	2	0.966183575	"Q9R152, P09874"	183	6	12646	23.03460838	1	0.90171632	74.13061573
GOTERM_BP_DIRECT	GO:0051592~response to calcium ion	GO:0051592	0.085648048	response to calcium ion	3	1.449275362	"O75340, P20073, P33477"	183	34	12646	6.097396336	1	0.901480274	75.13334797
GOTERM_BP_DIRECT	GO:0051028~mRNA transport	GO:0051028	0.087968502	mRNA transport	4	1.93236715	"Q6FQU5, Q07460, Q03280, Q7XMK8"	183	73	12646	3.786510966	1	0.90125092	76.09627371
GOTERM_BP_DIRECT	GO:0060441~epithelial tube branching involved in lung morphogenesis	GO:0060441	0.096518414	epithelial tube branching involved in lung morphogenesis	2	0.966183575	"P79800, P05689"	183	7	12646	19.74395004	1	0.916348851	79.35143801
GOTERM_BP_DIRECT	GO:0039702~viral budding via host ESCRT complex	GO:0039702	0.096518414	viral budding via host ESCRT complex	2	0.966183575	"Q0VD48, Q9WU78"	183	7	12646	19.74395004	1	0.916348851	79.35143801
GOTERM_BP_DIRECT	GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress	GO:0043619	0.096518414	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	2	0.966183575	"Q96ST3, Q60520"	183	7	12646	19.74395004	1	0.916348851	79.35143801
